id_electoral,ano,tipo_eleccion,fecha_eleccion,coddpto86,coddpto,departamento86,departamento,codmpio86,codmpio,municipio,circunscripcion,codigo_partido,codigo_lista,en_lista,primer_apellido,segundo_apellido,nombres,votos,curules
519860001,1986,Asamblea Departamental,Marzo 9,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Departamental,18480001,1,,,,PARTIDO LIBERAL COLOMBIANO,43989,0
519860001,1986,Asamblea Departamental,Marzo 9,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Departamental,18480001,1,1,MAYA,MAYA,MARIA VICTORIA ,0,1
519860001,1986,Asamblea Departamental,Marzo 9,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Departamental,18480001,1,2,ROLDAN,BETANCUR,ANTONIO,0,1
519860001,1986,Asamblea Departamental,Marzo 9,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Departamental,18480001,1,3,GOMEZ,MOLINA,HUMBERTO DE JESUS,0,1
519860001,1986,Asamblea Departamental,Marzo 9,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Departamental,18480001,1,4,ALVAREZ,SUESCUN,EDUARDO,0,1
519860001,1986,Asamblea Departamental,Marzo 9,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Departamental,18480001,1,5,VELEZ,MESA,WILLIAM,0,1
519860001,1986,Asamblea Departamental,Marzo 9,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Departamental,18480001,1,6,VILLEGAS,URIBE,JUAN GUILLERMO,0,1
519860001,1986,Asamblea Departamental,Marzo 9,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Departamental,18480001,1,7,RESTREPO,ARBELAEZ,CARLOS,0,1
519860001,1986,Asamblea Departamental,Marzo 9,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Departamental,18480001,1,8,ARROYAVE,SOTO,JORGE HONORIO,0,1
519860001,1986,Asamblea Departamental,Marzo 9,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Departamental,18480001,2,,,,PARTIDO LIBERAL COLOMBIANO,13557,0
519860001,1986,Asamblea Departamental,Marzo 9,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Departamental,18480001,2,1,VALLEJO,RIOS, JOHN OSCAR,0,1
519860001,1986,Asamblea Departamental,Marzo 9,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Departamental,18480001,2,2,BELTRAN,REYES,RODOLFO ENRIQUE,0,1
519860001,1986,Asamblea Departamental,Marzo 9,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Departamental,18480001,3,,,,PARTIDO LIBERAL COLOMBIANO,7906,0
519860001,1986,Asamblea Departamental,Marzo 9,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Departamental,18480001,3,1,ARANGO,ANGEL,JOSE HECTOR,0,1
519860001,1986,Asamblea Departamental,Marzo 9,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Departamental,18480001,4,,,,PARTIDO LIBERAL COLOMBIANO,795,0
519860001,1986,Asamblea Departamental,Marzo 9,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Departamental,18480001,4,1,CARVAJAL,SEPULVEDA,JORGE IVAN,0,1
519860001,1986,Asamblea Departamental,Marzo 9,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Departamental,18480001,5,,,,PARTIDO LIBERAL COLOMBIANO,7447,0
519860001,1986,Asamblea Departamental,Marzo 9,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Departamental,18480001,5,1,SANCHEZ,BERNAL,GERMAN DE JESUS,0,1
519860001,1986,Asamblea Departamental,Marzo 9,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Departamental,18480001,6,,,,PARTIDO LIBERAL COLOMBIANO,1926,0
519860001,1986,Asamblea Departamental,Marzo 9,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Departamental,18480001,6,1,VASQUEZ,VELASQUEZ,OCTAVIO,0,0
519860001,1986,Asamblea Departamental,Marzo 9,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Departamental,18490002,1,,,,PARTIDO CONSERVADOR COLOMBIANO,15532,0
519860001,1986,Asamblea Departamental,Marzo 9,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Departamental,18490002,1,1,LONDONO,CANO,OSCAR ANTONIO,0,1
519860001,1986,Asamblea Departamental,Marzo 9,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Departamental,18490002,1,2,BUSTAMANTE,VALENCIA,ORIEL DE JESUS,0,1
