id_electoral,ano,tipo_eleccion,fecha_eleccion,coddpto88,coddpto,departamento88,departamento,codmpio88,codmpio,municipio,circunscripcion,codigo_partido,codigo_lista,en_lista,primer_apellido,segundo_apellido,nombres,votos,curules
519880001,1988,Asamblea Departamental,Marzo 13,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Departamental,18480001,1,,,,PARTIDO LIBERAL COLOMBIANO,26227,0
519880001,1988,Asamblea Departamental,Marzo 13,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Departamental,18480001,1,1,GUERRA,SERNA,BERNARDO,0,1
519880001,1988,Asamblea Departamental,Marzo 13,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Departamental,18480001,1,2,DE LA TORRE,GOMEZ,SERGIO,0,1
519880001,1988,Asamblea Departamental,Marzo 13,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Departamental,18480001,1,3,ARROYAVE,SOTO,JORGE,0,1
519880001,1988,Asamblea Departamental,Marzo 13,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Departamental,18480001,1,4,ARANGO,ALVAREZ,PEDRO,0,1
519880001,1988,Asamblea Departamental,Marzo 13,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Departamental,18480001,1,5,SIERRA,BOTERO,DIEGO,0,1
519880001,1988,Asamblea Departamental,Marzo 13,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Departamental,18480001,1,6,GUERRA,VALDERRAMA,DONALDO,0,1
519880001,1988,Asamblea Departamental,Marzo 13,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Departamental,18480001,1,7,VILLEGAS,URIBE, JUAN,0,1
519880001,1988,Asamblea Departamental,Marzo 13,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Departamental,18480001,2,,,,PARTIDO LIBERAL COLOMBIANO,16408,0
519880001,1988,Asamblea Departamental,Marzo 13,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Departamental,18480001,2,1,PRIETO,MESA,JOSE ANTONIO,0,1
