año,corporacion,lugar,votacion,localidad,longitud,latitud,geometry,upz
2023,ALCALDIA,COLEGIO GENERAL SANTANDER USAQUEN,1576,USAQUEN,-74.028279,4.735065,POINT (-74.028279 4.735065),SAN CRISTOBAL NORTE
2023,ALCALDIA,MODELIA REAL,1570,FONTIBON,-74.12140295499995,4.67060209300007,POINT (-74.12140295499995 4.67060209300007),MODELIA
2023,ALCALDIA,LAS CRUCES,1564,SANTA FE,-74.08225487599998,4.592220084000076,POINT (-74.08225487599998 4.592220084000076),LAS CRUCES
2023,ALCALDIA,LOS CEREZOS,1560,ENGATIVA,-74.10015043799996,4.706390361000047,POINT (-74.10015043799996 4.706390361000047),MINUTO DE DIOS
2023,ALCALDIA,LOS LACHES,1555,SANTA FE,-74.06663596699997,4.587465473000066,POINT (-74.06663596699997 4.587465473000066),LOURDES
2023,ALCALDIA,LAS LOMAS,1552,RAFAEL URIBE URIBE,-74.10835908299998,4.564671512000075,POINT (-74.10835908299998 4.564671512000075),MARCO FIDEL SUAREZ
2023,ALCALDIA,EL MORISCO,1549,ENGATIVA,-74.09038497199998,4.70515559100005,POINT (-74.09038497199998 4.70515559100005),MINUTO DE DIOS
2023,ALCALDIA,EL TESORO,1547,CIUDAD BOLIVAR,-74.14944513799998,4.534972583000069,POINT (-74.14944513799998 4.534972583000069),EL TESORO
2023,ALCALDIA,CAMPO VERDE - POTRERITOS,1546,BOSA,-74.207959,4.622137,POINT (-74.207959 4.622137),TINTAL SUR
2023,ALCALDIA,CIUDAD BERNA,1533,ANTONIO NARINO,-74.09353678399998,4.586132712000051,POINT (-74.09353678399998 4.586132712000051),CIUDAD JARDIN
2023,ALCALDIA,LA CONCORDIA,1529,LA CANDELARIA,-74.06917663199994,4.598773004000066,POINT (-74.06917663199994 4.598773004000066),LA CANDELARIA
2023,ALCALDIA,LA PRADERA,1528,PUENTE ARANDA,-74.12182556299996,4.623994109000023,POINT (-74.12182556299996 4.623994109000023),SAN RAFAEL
2023,ALCALDIA,LA FRAGUA,1528,ANTONIO NARINO,-74.10444052099996,4.594286364000027,POINT (-74.10444052099996 4.594286364000027),RESTREPO
2023,ALCALDIA,COLEGIO DISTRITAL SALUDCOOP NORTE,1496,USAQUEN,-74.040412,4.757606,POINT (-74.040412 4.757606),VERBENAL
2023,ALCALDIA,ARCHIVO DISTRITAL,1495,LA CANDELARIA,-74.07713534599998,4.591681989000051,POINT (-74.07713534599998 4.591681989000051),LA CANDELARIA
2023,ALCALDIA,MILENIO PLAZA,1484,KENNEDY,-74.16878478099994,4.630349086000024,POINT (-74.16878478099994 4.630349086000024),PATIO BONITO
2023,ALCALDIA,ALMENAR,1484,KENNEDY,-74.17039948099995,4.619730318000052,POINT (-74.17039948099995 4.619730318000052),GRAN BRITALIA
2023,ALCALDIA,SANTA MARTA,1471,USME,-74.11562807999996,4.525273169000059,POINT (-74.11562807999996 4.525273169000059),GRAN YOMASA
2023,ALCALDIA,CAFAM CALLE 51,1470,TEUSAQUILLO,-74.06838478599997,4.639022793000038,POINT (-74.06838478599997 4.639022793000038),GALERIAS
2023,ALCALDIA,LIBERTADOR II,1464,RAFAEL URIBE URIBE,-74.11613920499997,4.584036610000055,POINT (-74.11613920499997 4.584036610000055),QUIROGA
2023,ALCALDIA,JUAN PABLO II,1462,CIUDAD BOLIVAR,-74.14786307699995,4.555261993000045,POINT (-74.14786307699995 4.555261993000045),LUCERO
2023,ALCALDIA,SAN BERNARDINO,1459,BOSA,-74.20614751399995,4.623649620000037,POINT (-74.20614751399995 4.623649620000037),BOSA OCCIDENTAL
2023,ALCALDIA,COLEGIO SIMON RODRIGUEZ SEDE A,1458,CHAPINERO,-74.06109617699997,4.654052440000044,POINT (-74.06109617699997 4.654052440000044),CHICO LAGO
2023,ALCALDIA,LA VALVANERA,1454,ANTONIO NARINO,-74.100284,4.589989,POINT (-74.100284 4.589989),RESTREPO
2023,ALCALDIA,MANUELA BELTRAN,1446,CIUDAD BOLIVAR,-74.15747735099995,4.57256518600002,POINT (-74.15747735099995 4.57256518600002),JERUSALEM
2023,ALCALDIA,CENTRO DE DESARROLLO COMUNITARIO KENNEDY,1444,KENNEDY,-74.16661075199994,4.620902714000067,POINT (-74.16661075199994 4.620902714000067),GRAN BRITALIA
2023,ALCALDIA,QUIROGA,1442,RAFAEL URIBE URIBE,-74.11055171399994,4.579222339000069,POINT (-74.11055171399994 4.579222339000069),QUIROGA
